name,email,phone,website,city,source,category,created_at
R3 salon (Only Man),,"
089805 94449",,Ahmedabad,google_maps_browser,,2026-02-06T07:44:10.225976
Enrich Salon Sindhubhavan,,"
088288 93000",https://www.enrichbeauty.com,Ahmedabad,google_maps_browser,,2026-02-06T07:44:05.615279
Toni & Guy,,"
072111 48148",,Ahmedabad,google_maps_browser,,2026-02-06T07:44:04.422166
O10 Professional Salon,,"
087340 99657",,Ahmedabad,google_maps_browser,,2026-02-06T07:44:00.943091
Illume Hair & Beauty Salon,,"
070695 66999",http://illumesalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:43:56.590801
"STAR Unisex Hair Salon Shilaj, Bopal, Ahmedabad",,"
073838 73617",,Ahmedabad,google_maps_browser,,2026-02-06T07:43:55.124270
Stardom Salons And Academy,,,,Ahmedabad,google_maps_browser,,2026-02-06T07:43:51.673069
"Knotty Heads Salon - Sindhubhavan Road, Ahmedabad",,"
081410 44444",http://www.knottyheadssalons.com,Ahmedabad,google_maps_browser,,2026-02-06T07:43:47.448922
HD Unisex Salon,,"
083474 44411",https://www.instagram.com/hd_unisex_salon,Ahmedabad,google_maps_browser,,2026-02-06T07:43:46.277965
HAIR RAP BY YOYO,,,http://www.hairrapbyyoyo.com,Ahmedabad,google_maps_browser,,2026-02-06T07:43:44.871916
Zion Salons,,"
076000 77990",https://zionsalons.com,Ahmedabad,google_maps_browser,,2026-02-06T07:43:42.681975
"Shades Of Blackk Spalon - Salon for Hair, Beauty & Bridal Service",,"
089801 80106",https://shadesofblackk.com,Ahmedabad,google_maps_browser,,2026-02-06T07:43:41.558638
Le Atmos Salon,,"
098044 98099",,Ahmedabad,google_maps_browser,,2026-02-06T07:43:40.109847
Final Touch Salon,,"
098243 47880",http://www.finaltouchsalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:43:36.961136
Blades & Scissors salon | Luxury Salon | Ahmedabad,,"
088665 57131",https://trakky.in/ahmedabad/sindhubhavan/salons/blades-and-scissors-sbr,Ahmedabad,google_maps_browser,,2026-02-06T07:43:35.470454
SV Unisex Salon,,"
097732 49059",,Ahmedabad,google_maps_browser,,2026-02-06T07:43:34.240290
S Mira Unisex Salon,,"
097376 70202",https://www.smiraunisexsalon.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14384732290541978217,Ahmedabad,google_maps_browser,,2026-02-06T07:43:30.961621
Retro Salon - Hair Skin Makeup,,"
070460 01703",http://www.retrosalon.in,Ahmedabad,google_maps_browser,,2026-02-06T07:43:29.497583
MD Unisex Salon,,"
090237 44674",,Ahmedabad,google_maps_browser,,2026-02-06T07:43:28.301280
The Cuts & Color Co.,,"
073783 87838",https://www.instagram.com/thecutsandcolorco/#,Ahmedabad,google_maps_browser,,2026-02-06T07:43:24.882844
Jawed Habib Hair & Beauty - Sindhu Bhavan Road,,"
099786 06050",https://jawedhabibsindhubhavan.wlkn.in,Ahmedabad,google_maps_browser,,2026-02-06T07:43:23.752699
"Twisha's Beauty Salon : Best hair Stylist, Top Beauty Salon, Best Bridal Makeup Artist in Ahemdabad",,"
090166 70299",,Ahmedabad,google_maps_browser,,2026-02-06T07:43:22.523682
LS Salon Academy Best Hair Academy In Gujarat.,,"
098240 87868",https://lssalonacademy.com,Ahmedabad,google_maps_browser,,2026-02-06T07:43:18.880223
Jawed Habib Hair & Beauty - Sindhu Bhavan Road,,"
097376 70202",https://www.smiraunisexsalon.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14384732290541978217,India,google_maps_browser,,2026-02-06T07:34:25.774348
CS creative salon,,"
097376 70202",https://www.smiraunisexsalon.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14384732290541978217,India,google_maps_browser,,2026-02-06T07:34:24.145316
